id,name,date,count,totalCount,onboardedCount,startingDate
1,Altre Pubbliche Amministrazioni locali,2023-07-05T07:46:17.345Z,1,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-07-10T07:46:17.345Z,2,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-07-15T07:46:17.345Z,2,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-07-20T07:46:17.345Z,3,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-07-25T07:46:17.345Z,4,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-07-30T07:46:17.345Z,4,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-04T07:46:17.345Z,7,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-09T07:46:17.345Z,9,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-14T07:46:17.345Z,9,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-19T07:46:17.345Z,9,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-24T07:46:17.345Z,10,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-08-29T07:46:17.345Z,10,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-03T07:46:17.345Z,12,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-08T07:46:17.345Z,12,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-13T07:46:17.345Z,12,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-18T07:46:17.345Z,16,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-23T07:46:17.345Z,17,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-09-28T07:46:17.345Z,19,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-03T07:46:17.345Z,23,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-08T07:46:17.345Z,26,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-13T07:46:17.345Z,27,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-18T07:46:17.345Z,27,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-23T07:46:17.345Z,27,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-10-28T07:46:17.345Z,29,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-02T07:46:17.345Z,29,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-07T07:46:17.345Z,29,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-12T07:46:17.345Z,31,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-17T07:46:17.345Z,31,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-22T07:46:17.345Z,32,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-11-27T07:46:17.345Z,35,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-02T07:46:17.345Z,35,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-07T07:46:17.345Z,36,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-12T07:46:17.345Z,37,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-17T07:46:17.345Z,37,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-22T07:46:17.345Z,37,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2023-12-27T07:46:17.345Z,40,4201,43,2023-07-05T07:46:17.345Z
1,Altre Pubbliche Amministrazioni locali,2024-01-01T07:46:17.345Z,43,4201,43,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-05T07:46:17.345Z,0,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-10T07:46:17.345Z,0,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-15T07:46:17.345Z,0,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-20T07:46:17.345Z,2,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-25T07:46:17.345Z,2,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-07-30T07:46:17.345Z,2,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-04T07:46:17.345Z,4,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-09T07:46:17.345Z,4,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-14T07:46:17.345Z,4,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-19T07:46:17.345Z,4,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-24T07:46:17.345Z,5,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-08-29T07:46:17.345Z,6,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-03T07:46:17.345Z,6,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-08T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-13T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-18T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-23T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-09-28T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-03T07:46:17.345Z,7,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-08T07:46:17.345Z,8,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-13T07:46:17.345Z,8,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-18T07:46:17.345Z,9,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-23T07:46:17.345Z,12,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-10-28T07:46:17.345Z,13,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-02T07:46:17.345Z,13,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-07T07:46:17.345Z,13,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-12T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-17T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-22T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-11-27T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-02T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-07T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-12T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-17T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-22T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2023-12-27T07:46:17.345Z,14,245,15,2023-07-05T07:46:17.345Z
2,Aziende Ospedaliere e ASL,2024-01-01T07:46:17.345Z,15,245,15,2023-07-05T07:46:17.345Z
3,Comuni,2023-07-05T07:46:17.345Z,117,8546,3666,2023-07-05T07:46:17.345Z
3,Comuni,2023-07-10T07:46:17.345Z,238,8546,3666,2023-07-05T07:46:17.345Z
