id,name,producerName,producerId,id,name,subscribersCount
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,1,Altre Pubbliche Amministrazioni locali,34
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,11,Enti privati,3
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,12,Pubbliche Amministrazioni Centrali,12
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,2,Aziende sanitarie locali e Strutture di ricovero,5
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,3,Comuni,913
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,4,Enti Nazionali di Previdenza ed Assistenza Sociale,2
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,5,Province e Città Metropolitane,34
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,6,Altre Pubbliche Amministrazioni Centrali,3
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,7,Regioni e Province Autonome,15
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,8,Scuole,2
0,Totale,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",22f48b43-2913-42e1-8360-4d1186c76063,9,Stazioni Appaltanti e Gestori di pubblici servizi,7
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,1,Altre Pubbliche Amministrazioni locali,6
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,10,Università e AFAM,8
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,12,Pubbliche Amministrazioni Centrali,6
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,2,Aziende sanitarie locali e Strutture di ricovero,2
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,3,Comuni,69
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,4,Enti Nazionali di Previdenza ed Assistenza Sociale,1
0,Totale,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA,27aaf0d7-850b-4aca-92b8-f4df70217448,5,Province e Città Metropolitane,1
